;cD312_S49;cD313_S50;cD314_S51;cD318_S55;cD319_S56;cD320_S57;cD324_S61;cD325_S62;cD326_S63;cD330_S67;cD331_S68;cD332_S69;cD336_S73;cD337_S74;cD338_S75;cD342_S79;cD343_S80;cD344_S81;cD348_S85;cD349_S86;cD350_S87;cD354_S91;cD355_S92
Bacteriovorax_Bacteriovoracaceae_Bdellovibrionales_Deltaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAL58-marine-group_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Balneola_Unknown-Family_Order-III_Cytophagia_Bacteroidetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bartonella_Bartonellaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0,019534248;0;0;0;0,01582853;0,010377289;0;0;0,016894295;0,008413653;0,009843125;0,010959681;0,027383327;0;0,005377005;0;0,00569307;0;0,004625732;0,014375099;0;0
Bauldia_Rhizobiales-Incertae-Sedis_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BD1-7-clade_Spongiibacteraceae_Cellvibrionales_Gammaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Blastomonas_Sphingomonadaceae_Sphingomonadales_Alphaproteobacteria_Proteobacteria;1,1347067;0,9104273;0,8762505;0,4793223;0,8900652;0,8588367;0,3771744;0,7175154;1,0036971;0,4703569;1,0847916;1,1405173;0,7336662;1,6091391;1,424911;0,8279272;1,5846801;1,2798544;0,8584971;1,9148245;2,1574414;0,9008192;2,1101638
Blastopirellula_Planctomycetaceae_Planctomycetales_Planctomycetacia_Planctomycetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bosea_Bradyrhizobiaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0,018932433;0,029301372;0,010587526;0,020089793;0,004907638;0,00465545;0,010377289;0,008434429;0,006616645;0,009780908;0,008413653;0;0,011604368;0;0,004853073;0,004608861;0;0;0;0,007401171;0;0;0
Boseongicola_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,012941529;0;0;0,004473127;0,006142883;0;0;0,0227365;0,091393032
Bradyrhizobium_Bradyrhizobiaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brevundimonas_Caulobacteraceae_Caulobacterales_Alphaproteobacteria_Proteobacteria;0,144777433;0,169529364;0,101803137;0,179934665;0,089319016;0,213219616;0,226817879;0,233352545;0,176002753;0,289870536;0,242126223;0,287911412;0,455793803;0,266009467;0,274198636;0,339519449;0,267630017;0,319625233;0,287837968;0,260891286;0,323061442;0,451481933;0,32937099
Brucella_Brucellaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burkholderia_Burkholderiaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0;0;0;0,009608162;0,005889166;0;0;0;0;0;0;0;0;0;0;0;0;0;0,004387774;0;0;0;0
Caenimonas_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Candidatus-Aquiluna_Microbacteriaceae_Micrococcales_Actinobacteria_Actinobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Caulobacter_Caulobacteraceae_Caulobacterales_Alphaproteobacteria_Proteobacteria;0;0,009069472;0;0,027951016;0;0;0;0;0;0;0;0;0;0,006845832;0;0;0;0;0,007897993;0;0;0;0
CB31G03_Microbacteriaceae_Micrococcales_Actinobacteria_Actinobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Celeribacter_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0,023387124;0,055114485;0,059453032;0,012228569;0,05005791;0,022346161;0,07115855;0,008434429;0,047639843;0,016005122;0,03178491;0,025838204;0,005802184;0,00977976;0,012132683;0,006145148;0,005299604;0,02114569;0;0;0;0;0
Chelativorans_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chlorochromatium_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0;0;0;0,004367346;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Christensenellaceae-R-7-group_Christensenellaceae_Clostridiales_Clostridia_Firmicutes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Citreicella_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cloacibacterium_Flavobacteriaceae_Flavobacteriales_Flavobacteriia_Bacteroidetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Clostridium-sensu-stricto-13_Clostridiaceae-1_Clostridiales_Clostridia_Firmicutes;0;0;0;0;0;0;0;0;0;0;0;0;0,003223436;0;0;0;0;0;0;0;0;0;0
Cobetia_Halomonadaceae_Oceanospirillales_Gammaproteobacteria_Proteobacteria;0,002784181;0;0;0;0;0;0,007412349;0;0,009263303;0,007113387;0;0;0,005802184;0,005867856;0,006470764;0,003840718;0;0,003253183;0;0;0;0,005413452;0
Cohaesibacter_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Colwellia_Colwelliaceae_Alteromonadales_Gammaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Comamonas_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0,003341018;0,003488259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Crocinitomix_Cryomorphaceae_Flavobacteriales_Flavobacteriia_Bacteroidetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cupriavidus_Burkholderiaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;1,20889156;1,83831224;1,33077061;1,74606502;1,34665594;1,53722964;1,13260692;0,87436917;1,31009568;0,98520415;0,9853322;1,06428791;0,83100171;0,75401948;1,86924203;1,36268666;0,95392877;1,29314026;0,95039183;1,01951134;0,78911729;0,44769252;0,36735251
Defluviicoccus_Rhodospirillaceae_Rhodospirillales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Defluviimonas_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0,03897854;0,073253429;0,087143485;0,099575494;0,06281777;0,033519241;0,066711141;0,036549194;0,042346527;0,030231896;0,039263712;0,104583205;0,082519953;0,135938661;0,073604944;0,089104652;0,064478519;0,088649238;0,057918616;0,049032759;0,074901833;0,104479632;0,083678035
Deinococcus_Deinococcaceae_Deinococcales_Deinococci_Deinococcus-Thermus;0;0;0;0;0;0;0;0;0;0;0;0;0;0,005867856;0,008897301;0,009985866;0,010599209;0,009352901;0,031591972;0,022203514;0,014375099;0,035187441;0,019584221
Delftia_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Desulfovibrio_Desulfovibrionaceae_Desulfovibrionales_Deltaproteobacteria_Proteobacteria;0,007795708;0,007674169;0,033391429;0,010481631;0;0;0;0;0,014556619;0,005335041;0,004674251;0;0;0,00488988;0,004044228;0,015362871;0,011482476;0,013826028;0,012285767;0;0,009835594;0,007037488;0,008901919
Devosia_Hyphomicrobiaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0,030069159;0,019534248;0,031762579;0,018342854;0,013741387;0,056796492;0,057816322;0,033737717;0,01323329;0,052461232;0,043003113;0,031990157;0,052219658;0,045964871;0,080884553;0,0476249;0,05387931;0,02114569;0,073714602;0,027754392;0,054474061;0,023277845;0,023144989
Diplosphaera_Opitutaceae_Opitutales_Opitutae_Verrucomicrobia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dokdonella_Xanthomonadaceae_Xanthomonadales_Gammaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dokdonia_Flavobacteriaceae_Flavobacteriales_Flavobacteriia_Bacteroidetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
