;D315_S4;D316_S5;D317_S6;D321_S10;D322_S11;D323_S12;D327_S16;D328_S17;D329_S18;D333_S22;D334_S23;D335_S24;D339_S28;D340_S29;D341_S30;D345_S34;D346_S35;D347_S36;D351_S40;D352_S41;D353_S42;D358_S45;D359_S46
BD1-7-clade_Spongiibacteraceae_Cellvibrionales_Gammaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Blastomonas_Sphingomonadaceae_Sphingomonadales_Alphaproteobacteria_Proteobacteria;10,2201313;3,1790425;4,2797868;9,2427296;3,6890708;4,2226373;15,316847;5,3110091;5,6087446;9,8655394;7,9050214;6,3487935;22,7811917;9,3685572;9,5814604;26,6315516;10,2740935;7,3075973;24,4073;6,7224451;8,9224518;22,0835536;11,2542161
Blastopirellula_Planctomycetaceae_Planctomycetales_Planctomycetacia_Planctomycetes;0,010060261;0,006869642;0,007636169;0,010974711;0;0;0;0;0;0;0,011822707;0;0;0;0;0;0;0,00579684;0;0,014687163;0,004613975;0;0,003373637
Bosea_Bradyrhizobiaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0,013090576;0;0;0;0;0;0;0;0;0;0;0;0;0,007061233;0;0;0;0;0;0;0
Boseongicola_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0,006522549;0;0;0;0;0;0;0;0;0,024475547;0;0;0,027024711;0;0
Bradyrhizobium_Bradyrhizobiaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0,017102444;0,03297428;0,015272339;0,023517238;0,00747105;0,050146859;0,022504276;0,020042243;0,022363026;0,008163182;0,021280872;0,014056485;0;0;0,015400964;0,010591849;0;0,012881867;0;0,020398838;0,023069875;0,01623985;0,014169276
Brevundimonas_Caulobacteraceae_Caulobacterales_Alphaproteobacteria_Proteobacteria;0,083500166;0,068696417;0,080725218;0,094068953;0,038849458;0,044773981;0,067512827;0,04625133;0,039135296;0,036734319;0,036650391;0,029194239;0,054163609;0,047947258;0,044662796;0,024714314;0,034570747;0,083088041;0,023905063;0,046509351;0,042844054;0,022485946;0,043182554
Brucella_Brucellaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burkholderia_Burkholderiaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Caenimonas_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Candidatus-Aquiluna_Microbacteriaceae_Micrococcales_Actinobacteria_Actinobacteria;0;0;0;0,007839079;0,00896526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Caulobacter_Caulobacteraceae_Caulobacterales_Alphaproteobacteria_Proteobacteria;1,992937697;1,755880413;1,629776697;2,227866359;2,375793799;1,823196504;2,36294896;1,82076068;2,11982855;2,2234467;2,52769469;1,806799014;2,175280428;2,331435421;1,315242334;1,27219875;2,624084287;4,710898703;1,594809186;2,16309279;3,130911656;2,122423485;4,880303357
CB31G03_Microbacteriaceae_Micrococcales_Actinobacteria_Actinobacteria;0;0;0;0;0,00747105;0;0;0;0;0;0;0;0,008736066;0;0;0;0;0;0;0;0;0;0
Celeribacter_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chelativorans_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chlorochromatium_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Christensenellaceae-R-7-group_Christensenellaceae_Clostridiales_Clostridia_Firmicutes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Citreicella_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0,015090391;0,006869642;0,005454407;0,012542527;0,00896526;0,010745755;0;0,007708555;0,004658964;0;0,011822707;0;0,008736066;0;0;0;0,00823113;0,0096614;0;0,014687163;0;0,007495315;0
Cloacibacterium_Flavobacteriaceae_Flavobacteriales_Flavobacteriia_Bacteroidetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Clostridium-sensu-stricto-13_Clostridiaceae-1_Clostridiales_Clostridia_Firmicutes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cobetia_Halomonadaceae_Oceanospirillales_Gammaproteobacteria_Proteobacteria;0,013078339;0,006869642;0,005454407;0;0,01045947;0;0;0,010021121;0,029817369;0,013265171;0;0,015137754;0;0,029967036;0,013860868;0,01647621;0,018108486;0,016746427;0,008537522;0,009791442;0,005932254;0,017489069;0,014844003
Cohaesibacter_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Colwellia_Colwelliaceae_Alteromonadales_Gammaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Comamonas_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0,009054235;0,00824357;0,008727051;0,007839079;0,017930519;0;0;0,010021121;0,01024972;0,016326364;0,016551789;0;0,008736066;0;0,007700482;0,008238105;0,014816034;0,008373213;0;0,017950978;0,021092457;0;0,017542913
Crocinitomix_Cryomorphaceae_Flavobacteriales_Flavobacteriia_Bacteroidetes;0,007042183;0,023356782;0,022908508;0;0;0,010745755;0;0;0;0,008163182;0,010640436;0;0;0;0;0;0;0,003220467;0;0;0,004613975;0;0
Cupriavidus_Burkholderiaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0,16901238;0,19921961;0,2509027;0,24144365;0,39297721;0,24357046;0,04500855;0,15725452;0,28792397;0,14489648;0,11113344;0,11677696;0,14327148;0,15183298;0,35268208;0,09885726;0,14322166;0,1545824;0,09049774;0,07098796;0,26563314;0,06121174;0,12280039
