;cD315_S52;cD316_S53;cD317_S54;cD321_S58;cD322_S59;cD323_S60;cD327_S64;cD328_S65;cD329_S66;cD333_S70;cD334_S71;cD335_S72;cD339_S76;cD340_S77;cD341_S78;cD345_S82;cD346_S83;cD347_S84;cD351_S88;cD352_S89;cD353_S90;cD358_S93;cD359_S94
Afifella_Rhodobiaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0,016990834;0;0,007431353;0,00904141;0,006466423;0;0;0,005872637;0,037810042;0,010634904;0,008230302;0;0,007293481;0;0;0;0,003415301;0;0,01210556;0;0,003965871;0;0
Afipia_Bradyrhizobiaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agrococcus_Microbacteriaceae_Micrococcales_Actinobacteria_Actinobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ahrensia_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0,255756763;0,207379934;0,11425705;0,124570533;0,197225904;0,181000379;0,136289696;0,116718664;0,092256503;0,108121522;0,091447802;0,105354771;0,084786711;0,06498012;0,075701678;0,03501564;0,058743169;0,067103371;0,061536599;0,049579948;0,041358367;0,050360747;0,043501077
Albidiferax_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0;0;0;0,013059814;0;0;0;0;0;0;0;0;0;0;0;0,007781253;0;0;0;0;0;0;0
Algoriphagus_Cyclobacteriaceae_Cytophagales_Cytophagia_Bacteroidetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aliihoeflea_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alkanindiges_Moraxellaceae_Pseudomonadales_Gammaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0,003817202;0,004558425;0;0;0,028790638;0,005464481;0,009586196;0,005043984;0,005049809;0,002832765;0;0,003452466
Altererythrobacter_Erythrobacteraceae_Sphingomonadales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alteromonas_Alteromonadaceae_Alteromonadales_Gammaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aminobacter_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Amorphus_Caulobacteraceae_Caulobacterales_Alphaproteobacteria_Proteobacteria;0;0;0,006502434;0;0;0;0;0;0;0;0;0;0;0;0;0;0,008196721;0;0;0,016526649;0;0;0,007595426
Ancylobacter_Xanthobacteraceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0,004644596;0,005023005;0;0;0;0,005138558;0,004537205;0;0;0;0,009116851;0;0,01054074;0;0;0;0;0;0;0;0
Antarctobacter_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0,231611894;0,201397821;0,235016535;0,162745374;0,215547437;0,283964667;0,118703929;0,194531107;0,232909861;0,205608139;0,140829614;0,174064404;0,2014824;0,153088758;0,079534674;0,119831302;0,142759563;0,07029877;0,025219918;0,127163384;0,094614347;0,040083044;0,033834171
Aquabacterium_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0;0,004985095;0;0,005023005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aquamicrobium_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0,01984945;0,013675276;0;0;0,004668752;0,012978142;0;0;0;0;0;0,008976413
Aquimonas_Xanthomonadaceae_Xanthomonadales_Gammaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arcobacter_Campylobacteraceae_Campylobacterales_Epsilonproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arenibacter_Flavobacteriaceae_Flavobacteriales_Flavobacteriia_Bacteroidetes;0,004471272;0;0,016720544;0,012055213;0,014010583;0;0;0,008808956;0,010586812;0;0;0;0,007293481;0;0,004791245;0;0;0;0;0,002295368;0;0;0
Arthrobacter_Micrococcaceae_Micrococcales_Actinobacteria_Actinobacteria;0,006259781;0,004985095;0;0;0,008621897;0;0;0,007340796;0,009830611;0;0,00457239;0;0;0;0;0;0;0;0;0;0,003965871;0;0
Aureimonas_Aurantimonadaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Azoarcus_Rhodocyclaceae_Rhodocyclales_Betaproteobacteria_Proteobacteria;0,00804829;0;0,005573515;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bacillus_Bacillaceae_Bacillales_Bacilli_Firmicutes;0,005365526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bacteriovorax_Bacteriovoracaceae_Bdellovibrionales_Deltaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAL58-marine-group_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Balneola_Unknown-Family_Order-III_Cytophagia_Bacteroidetes;0;0;0;0;0,00754416;0;0;0;0,008318209;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bartonella_Bartonellaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0,008205166;0,007709506;0;0;0;0;0;0,002295368;0;0;0
Bauldia_Rhizobiales-Incertae-Sedis_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0,018943359;0;0,027124229;0;0;0,035171535;0;0;0;0;0;0;0;0;0,013228131;0,019808743;0;0,011096764;0;0,003965871;0;0
BD1-7-clade_Spongiibacteraceae_Cellvibrionales_Gammaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Blastomonas_Sphingomonadaceae_Sphingomonadales_Alphaproteobacteria_Proteobacteria;0,8380434;0,400626;0,4476615;0,7532518;0,5254064;0,463427;1,0083767;0,4367132;0,5725821;0,9437096;0,6965862;0,4855878;2,1547645;0,8469554;0,9923235;2,5114573;0,8045816;0,7356557;2,1721532;0,9099346;1,0838727;1,9406183;0,8849103
Blastopirellula_Planctomycetaceae_Planctomycetales_Planctomycetacia_Planctomycetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bosea_Bradyrhizobiaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0,00804829;0,015952303;0,02136514;0,008036809;0,019399269;0,013006015;0,014654806;0,008074876;0,006805808;0,007976178;0,006401346;0,003817202;0,009116851;0,012114938;0,012457238;0,003890627;0,008196721;0;0,00605278;0,00642703;0,007365189;0;0
Boseongicola_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0,006608148;0;0;0;0;0;0;0;0;0
Bradyrhizobium_Bradyrhizobiaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brevundimonas_Caulobacteraceae_Caulobacterales_Alphaproteobacteria_Proteobacteria;0,032193159;0,028913548;0,037156764;0,027124229;0,023710218;0,032515038;0,021982209;0,029363186;0,034029038;0,016838598;0,023776428;0,018322569;0,034644033;0,00550679;0,025872725;0,01167188;0,011612022;0,029823721;0;0,010099619;0,010764507;0,009249933;0,011047893
Brucella_Brucellaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burkholderia_Burkholderiaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Caenimonas_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Candidatus-Aquiluna_Microbacteriaceae_Micrococcales_Actinobacteria_Actinobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Caulobacter_Caulobacteraceae_Caulobacterales_Alphaproteobacteria_Proteobacteria;0,768164543;0,77966879;0,539702003;0,978481445;1,015228426;0,768438736;0,750326069;1,272160029;1,060193587;1,156545783;1,204367547;1,040569221;0,870659239;1,363481172;0,773307013;0,985884806;1,285519126;1,699952069;0,816116536;1,178441904;0,878157116;0,873604802;0,533060819
CB31G03_Microbacteriaceae_Micrococcales_Actinobacteria_Actinobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Celeribacter_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chelativorans_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0,003670398;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chlorochromatium_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0,015202325;0,024925473;0,005573515;0;0,008621897;0,007586842;0;0,007340796;0,006805808;0;0,007315824;0,004580642;0;0;0;0;0;0;0;0,003213515;0;0,018499866;0,004833453
Christensenellaceae-R-7-group_Christensenellaceae_Clostridiales_Clostridia_Firmicutes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Citreicella_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cloacibacterium_Flavobacteriaceae_Flavobacteriales_Flavobacteriia_Bacteroidetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Clostridium-sensu-stricto-13_Clostridiaceae-1_Clostridiales_Clostridia_Firmicutes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cobetia_Halomonadaceae_Oceanospirillales_Gammaproteobacteria_Proteobacteria;0;0;0;0,014064415;0;0;0;0,01982015;0,031004235;0,016838598;0,00914478;0,011451606;0,024615497;0,007709506;0;0,006225003;0,008196721;0,015976993;0,007061577;0,004131662;0,013597271;0;0
Cohaesibacter_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0,003817202;0;0;0;0;0;0;0;0;0;0;0
Colwellia_Colwelliaceae_Alteromonadales_Gammaproteobacteria_Proteobacteria;0;0;0;0,006027606;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Comamonas_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0,02235636;0,023928454;0,007431353;0,036165639;0,025865692;0,027095865;0,038102496;0;0,02722323;0,033677195;0,02286195;0,043516101;0,050142679;0,046257035;0,029705722;0,043575019;0,040300546;0,048996112;0,042369462;0,040857549;0,049856662;0,02877757;0,032453185
Crocinitomix_Cryomorphaceae_Flavobacteriales_Flavobacteriia_Bacteroidetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cupriavidus_Burkholderiaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0,41314554;0,53440214;0,67346635;0,58166402;0,50869195;0,36525226;0,47188475;0,40594604;0,50211736;0,38019781;0,3785939;0,28781702;0,43760883;0,51763825;0,66406662;0,15329069;0,36202186;0,32699579;0,26026955;0,26672176;0,4844028;0,12436021;0,25893498
Defluviicoccus_Rhodospirillaceae_Rhodospirillales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0,003670398;0;0;0;0,006870963;0,011851906;0;0,005749495;0,014006256;0,004098361;0;0;0,010558693;0,008498295;0,006166622;0,004833453
